SUBURB,LOC_PID,Centroid_Latitude,Centroid_Longitude
FISKVILLE,VIC915,-37.67884194212062,144.232139674105
TORRITA,VIC2555,-35.11943081788819,141.93094842614911
NEUARPURR,VIC1916,-36.73556992378049,141.07737902292683
BOORT,VIC300,-36.130017147432845,143.84288439899186
BEAUCHAMP,VIC180,-35.634507915638295,143.62515574159573
CRYMELON,VIC684,-36.15989188475411,142.21880174754105
AUBREY,VIC82,-36.229463945945945,142.22546711918918
ARCHIES CREEK,VIC61,-38.54957941822485,145.56501576331362
ANNUELLO,VIC46,-34.836795413757564,142.84763183672726
BIG DESERT,VIC234,-35.63305905250441,141.54751561653256
WARRAGUL SOUTH,VIC2703,-38.21536861365674,145.90707899447767
MERRINEE,VIC1663,-34.44668830937824,141.84320345772025
BENAMBRA,VIC205,-36.95477609750615,147.83329376765346
MERINGUR,VIC1651,-34.42109127156251,141.27593967960937
WOODSTOCK,VIC2845,-37.55632412217399,145.0848492715186
BELLBRAE,VIC195,-38.33655739578573,144.24282254964282
NULLA VALE,VIC1976,-37.17223299921811,144.7611219591358
WOOLAMAI,VIC2850,-38.51349875944057,145.52488733580418
VERVALE,VIC2632,-38.132227194893616,145.65864285255319
BAMAWM EXTENSION,VIC125,-36.18919222406251,144.5974732675
ALMURTA,VIC32,-38.453422849469014,145.5745375738496
WERRIMULL,VIC2755,-34.42462325858899,141.58876591619637
WINGAN RIVER,VIC2808,-37.670872871211394,149.5626638140223
TENNYSON,VIC2489,-36.30599213852458,144.41948037475407
CAPE PATERSON,VIC473,-38.670528736439636,145.6268952736223
KILCUNDA,VIC1340,-38.558598153230186,145.51373337668983
JIL JIL,VIC1261,-35.830670480892856,142.98749781125005
WARNE,VIC2698,-35.78477648402985,143.10929518582094
PYRAMID HILL,VIC2126,-36.01368356980519,144.2089585396753
COMBIENBAR,VIC614,-37.358850384600025,149.06106883622863
LAKE MARMAL,VIC1432,-36.121492159024406,143.5194769387804
NILMA,VIC1939,-38.17244636441861,145.97150305581394
CULGOA,VIC687,-35.673245117935515,143.0857967942795
HORDERN VALE,VIC1196,-38.807892359799986,143.49032731514296
BUNGEET WEST,VIC406,-36.351022638360654,146.00847653114755
SMITHS BEACH,VIC2299,-38.502648210000004,145.25564017320755
WATTLE BANK,VIC2728,-38.56226187104917,145.69812440691803
HORSHAM,VIC1198,-36.7147863651282,142.19899991564102
LONGERENONG,VIC1530,-36.70932947747453,142.35399472549665
TOWER HILL,VIC2565,-38.32761345000001,142.35589377212958
KNOXFIELD,VIC1368,-37.88533255229593,145.24762009819753
TATYOON,VIC2471,-37.5336110338983,143.01985321305082
BARKERS CREEK,VIC140,-37.02075601922705,144.2375862637681
TANTARABOO,VIC2446,-37.23651745846154,144.82237625384616
ALLAMBEE,VIC23,-38.299856887149865,146.01816825186748
TOOLERN VALE,VIC2540,-37.61066413935785,144.61691231340134
DIGGERS REST,VIC749,-37.61890319569564,144.66542375598664
BRIDGEWATER ON LODDON,VIC334,-36.603804335999996,143.9394112186
FRANKLINFORD,VIC938,-37.23729089418104,144.0930713709483
MARTHAVALE,VIC1610,-37.443418577979266,147.43945784207244
TURRIFF EAST,VIC2592,-35.45224801833334,142.58271327190477
PYALONG,VIC2125,-37.12425221370969,144.8640710808064
HILLDENE,VIC1183,-37.049942494983185,145.0882304485269
MAINDAMPLE,VIC1574,-37.092480179600486,145.94287408823058
DORODONG,VIC775,-37.315704031046515,141.05261793116276
TOTTENHAM,VIC2559,-37.803592325384614,144.85529201384614
NOORINBEE NORTH,VIC1954,-37.43737548435642,149.24041618089115
TOORA,VIC2547,-38.657132024674596,146.31236358717447
TOOMBON,VIC2545,-37.71088455815482,146.405187925268
FLORA HILL,VIC923,-36.782333997551014,144.29406436540813
BRANDY CREEK,VIC320,-38.10078748097087,145.9110694272816
SKENES CREEK NORTH,VIC2292,-38.688910803362056,143.71324114749993
WYE RIVER,VIC2882,-38.62728269500904,143.8521830433334
CAPE BRIDGEWATER,VIC469,-38.359574238635446,141.39797601971304
TAYLORS LAKES,VIC2476,-37.70604525006027,144.79367993804215
ULTIMA,VIC2611,-35.48970058306122,143.26960514734697
BRAVINGTON,VIC322,-38.080170908255845,145.9198331996511
NORTH WONTHAGGI,VIC1966,-38.56728672110379,145.59483603920924
DENISON,VIC731,-38.01599237509193,146.874395687082
DIAMOND CREEK,VIC747,-37.66616047789342,145.16160964545685
MANSFIELD,VIC1593,-37.08816931591772,146.00001786376583
KADNOOK,VIC1276,-37.22991026001741,141.34958020030302
LONGLEA,VIC1532,-36.77049793670884,144.4309296120253
WATTLE GLEN,VIC2731,-37.66514052769784,145.18453019422054
THOMSON,VIC2985,-38.1693986988372,144.37719321418606
BOHO SOUTH,VIC268,-36.753721305364806,145.82834916218877
